#PIXEL  #BOARD  #CHANNEL  #MACROCELL L3  #ALL MACROCELLS  #ATTENUATION
52    0.500000    1    
53    0.300000    0    
54    0.500000    1    
55    0.300000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.330000    0    
2    0.330000    0    
3    0.330000    0    
4    0.330000    0    
5    0.530000    2    
6    0.730000    0    
7    0.330000    0    
8    0.330000    0    
9    0.330000    0    
10    0.530000    2    
11    0.330000    0    
12    0.330000    0    
13    0.530000    5    
14    0.330000    0    
15    0.330000    0    
16    0.530000    0    
17    0.530000    4    
18    0.330000    0    
19    0.330000    0    
20    0.530000    2    
21    0.530000    0    
22    0.330000    0    
23    0.330000    0    
24    0.330000    0    
25    0.330000    0    
26    0.530000    1    
27    0.330000    0    
28    0.330000    0    
29    0.530000    8    
30    0.330000    0    
31    0.330000    0    
32    0.330000    0    
33    0.730000    0    
34    0.530000    5    
35    0.330000    0    
36    0.330000    0    
37    0.330000    0    
38    0.530000    6    
39    0.330000    0    
40    0.530000    5    
41    0.330000    0    
42    0.330000    0    
43    0.330000    0    
44    0.530000    10    
45    0.330000    0    
46    0.330000    0    
47    0.330000    0    
48    0.530000    13    
49    0.330000    0    
50    0.330000    0    
51    0.330000    0    
52    0.530000    3    
53    0.330000    0    
54    0.530000    0    
55    0.330000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.360000    0    
2    0.360000    0    
3    0.360000    0    
4    0.360000    0    
5    0.560000    0    
6    0.760000    0    
7    0.360000    0    
8    0.360000    0    
9    0.360000    0    
10    0.560000    0    
11    0.360000    0    
12    0.360000    0    
13    0.560000    2    
14    0.360000    0    
15    0.360000    0    
16    0.560000    0    
17    0.560000    0    
18    0.360000    0    
19    0.360000    0    
20    0.560000    1    
21    0.560000    0    
22    0.360000    0    
23    0.360000    0    
24    0.360000    0    
25    0.360000    0    
26    0.560000    0    
27    0.360000    0    
28    0.360000    0    
29    0.560000    3    
30    0.360000    0    
31    0.360000    0    
32    0.360000    0    
33    0.760000    0    
34    0.560000    1    
35    0.360000    0    
36    0.360000    0    
37    0.360000    0    
38    0.560000    3    
39    0.360000    0    
40    0.560000    2    
41    0.360000    0    
42    0.360000    0    
43    0.360000    0    
