#Macrocell     #Threshold [V]
35          0.033497
36          0.033497
37          0.033497
38          0.033497
39          0.033497
40          0.033497
41          0.033497
42          0.033497
43          0.033497
44          0.033497
45          0.033497
46          0.033497
47          0.033497
48          0.033497
49          0.033497
50          0.033497
51          0.033497
52          0.033497
53          0.033497
54          0.033497
55          0.033497
#Macrocell     #Rates [Hz]
1          20023.000000
2          20023.000000
3          22251.000000
4          496183.000000
5          40402.000000
6          75231.000000
7          15057.000000
8          585585.000000
9          33866.000000
10          1413043.000000
11          91807.000000
12          49728.000000
13          39124.000000
14          55022.000000
15          833346.000000
16          108695.000000
17          29887.000000
18          152941.000000
19          89409.000000
20          1203703.000000
21          631067.000000
22          79852.000000
23          83655.000000
24          714296.000000
25          351351.000000
26          1226415.000000
27          296803.000000
28          2321428.000000
29          1203703.000000
30          755813.000000
31          315538.000000
32          1857142.000000
33          67567.000000
34          1181836.000000
35          878378.000000
36          1015625.000000
37          485074.000000
38          219594.000000
39          96870.000000
40          62263.000000
41          773821.000000
42          32242.000000
43          380116.000000
44          308061.000000
45          299539.000000
46          63401.000000
47          386904.000000
48          401234.000000
49          386904.000000
50          171506.000000
51          208346.000000
52          26818.000000
53          16139.000000
54          83979.000000
55          155880.000000
%56          0.000000
#Macrocell     #Threshold [V]
1          0.039811
2          0.039811
3          0.039811
4          0.039811
5          0.039811
6          0.039811
7          0.039811
8          0.039811
9          0.039811
10          0.039811
11          0.039811
12          0.039811
13          0.039811
14          0.039811
15          0.039811
16          0.039811
17          0.039811
18          0.039811
19          0.039811
20          0.039811
21          0.039811
22          0.039811
23          0.039811
24          0.039811
25          0.039811
26          0.039811
27          0.039811
28          0.039811
29          0.039811
30          0.039811
31          0.039811
32          0.039811
33          0.039811
34          0.039811
35          0.039811
36          0.039811
37          0.039811
38          0.039811
39          0.039811
40          0.039811
41          0.039811
42          0.039811
43          0.039811
44          0.039811
45          0.039811
46          0.039811
47          0.039811
48          0.039811
49          0.039811
50          0.039811
51          0.039811
52          0.039811
53          0.039811
54          0.039811
55          0.039811
#Macrocell     #Rates [Hz]
1          9254.000000
2          9254.000000
3          10029.000000
4          159313.000000
5          12389.000000
6          24999.000000
7          5958.000000
8          123106.000000
9          10259.000000
10          65000000.000000
11          20659.000000
12          11603.000000
13          13754.000000
14          17644.000000
15          181058.000000
16          20060.000000
17          9378.000000
18          37740.000000
19          22221.000000
20          391566.000000
21          192878.000000
22          17023.000000
23          16366.000000
24          218120.000000
25          83979.000000
26          291479.000000
27          63628.000000
28          764705.000000
29          309523.000000
30          172872.000000
31          58572.000000
32          520000.000000
33          23231.000000
34          329949.000000
35          232142.000000
36          280172.000000
37          158924.000000
38          43681.000000
39          30005.000000
40          10808.000000
41          251937.000000
42          10913.000000
43          91549.000000
44          76023.000000
45          63238.000000
46          11232.000000
47          68928.000000
48          79952.000000
49          73115.000000
50          51978.000000
51          48962.000000
52          9694.000000
53          6466.000000
54          19148.000000
55          23092.000000
%56          0.000000
#Macrocell     #Rates [Hz]
1          7544.000000
2          7544.000000
3          8005.000000
4          147727.000000
5          10124.000000
6          21703.000000
7          4711.000000
8          108877.000000
9          8123.000000
10          422077.000000
11          18829.000000
12          9987.000000
13          11233.000000
14          14384.000000
15          172413.000000
16          17513.000000
17          7794.000000
18          32737.000000
19          19571.000000
20          0.000000
21          201863.000000
22          15390.000000
23          14178.000000
24          209003.000000
25          78125.000000
26          294122.000000
27          58168.000000
28          890410.000000
29          306603.000000
30          158924.000000
31          56292.000000
32          520000.000000
33          18847.000000
34          328282.000000
35          224913.000000
36          269709.000000
37          134575.000000
38          42164.000000
39          25982.000000
40          9672.000000
41          230496.000000
42          8878.000000
43          87719.000000
44          67010.000000
45          60458.000000
46          9796.000000
47          65989.000000
48          71271.000000
49          67010.000000
50          45410.000000
51          45092.000000
52          7873.000000
53          4892.000000
54          16652.000000
55          21146.000000
%56          0.000000
#Macrocell     #Threshold [V]
1          0.047315
2          0.047315
3          0.047315
4          0.047315
5          0.047315
6          0.047315
7          0.047315
8          0.047315
9          0.047315
10          0.047315
11          0.047315
12          0.047315
13          0.047315
14          0.047315
15          0.047315
16          0.047315
17          0.047315
18          0.047315
19          0.047315
20          0.047315
21          0.047315
22          0.047315
23          0.047315
24          0.047315
25          0.047315
26          0.047315
27          0.047315
28          0.047315
29          0.047315
30          0.047315
31          0.047315
32          0.047315
33          0.047315
34          0.047315
35          0.047315
36          0.047315
37          0.047315
38          0.047315
39          0.047315
40          0.047315
41          0.047315
42          0.047315
43          0.047315
44          0.047315
45          0.047315
46          0.047315
47          0.047315
48          0.047315
49          0.047315
50          0.047315
51          0.047315
52          0.047315
53          0.047315
54          0.047315
55          0.047315
#Macrocell     #Rates [Hz]
1          5781.000000
2          5781.000000
3          5171.000000
4          44201.000000
5          6284.000000
6          12927.000000
7          3130.000000
8          29430.000000
9          4978.000000
10          2147483648.000000
11          8256.000000
12          4963.000000
13          7521.000000
14          9469.000000
15          35221.000000
16          6698.000000
17          4907.000000
18          17003.000000
19          9715.000000
20          136268.000000
21          50721.000000
22          5767.000000
23          5523.000000
24          56564.000000
25          21511.000000
26          57808.000000
27          23482.000000
28          248091.000000
29          62493.000000
30          31072.000000
31          13013.000000
32          126705.000000
33          14274.000000
34          79656.000000
35          45085.000000
36          62088.000000
37          43528.000000
38          10676.000000
39          14811.000000
40          2644.000000
41          68565.000000
42          5496.000000
43          24065.000000
44          21640.000000
45          14037.000000
46          2573.000000
47          13978.000000
48          19576.000000
49          13878.000000
50          25388.000000
51          14149.000000
52          5387.000000
53          3575.000000
54          7165.000000
55          4637.000000
%56          0.000000
#Macrocell     #Threshold [V]
1          0.056234
2          0.056234
3          0.056234
4          0.056234
5          0.056234
6          0.056234
7          0.056234
8          0.056234
9          0.056234
10          0.056234
11          0.056234
12          0.056234
13          0.056234
14          0.056234
15          0.056234
16          0.056234
17          0.056234
18          0.056234
19          0.056234
20          0.056234
21          0.056234
22          0.056234
23          0.056234
24          0.056234
25          0.056234
26          0.056234
27          0.056234
28          0.056234
29          0.056234
30          0.056234
31          0.056234
32          0.056234
33          0.056234
34          0.056234
35          0.056234
36          0.056234
37          0.056234
38          0.056234
39          0.056234
40          0.056234
41          0.056234
42          0.056234
43          0.056234
44          0.056234
45          0.056234
46          0.056234
47          0.056234
48          0.056234
49          0.056234
50          0.056234
51          0.056234
52          0.056234
53          0.056234
54          0.056234
55          0.056234
#Macrocell     #Rates [Hz]
1          5708.000000
2          5708.000000
3          3286.000000
4          26346.000000
5          5908.000000
6          12268.000000
7          2928.000000
8          19158.000000
9          3949.000000
10          41296.000000
11          6815.000000
12          4026.000000
13          6216.000000
14          7346.000000
15          18491.000000
16          4291.000000
17          3961.000000
18          14030.000000
19          7017.000000
20          41794.000000
21          14062.000000
22          2810.000000
23          3065.000000
24          28134.000000
25          8014.000000
26          15464.000000
27          19952.000000
28          0.000000
29          16080.000000
30          11569.000000
31          4891.000000
32          33052.000000
33          14426.000000
34          21193.000000
35          7181.000000
36          16206.000000
37          30165.000000
38          5089.000000
39          13940.000000
40          1056.000000
41          31222.000000
42          3463.000000
43          12150.000000
44          12719.000000
45          7193.000000
46          996.000000
47          6311.000000
48          11462.000000
49          5493.000000
50          21787.000000
51          8974.000000
52          4028.000000
53          2999.000000
54          5434.000000
55          1823.000000
%56          0.000000
#Macrocell     #Threshold [V]
1          0.066834
2          0.066834
3          0.066834
4          0.066834
5          0.066834
6          0.066834
7          0.066834
8          0.066834
9          0.066834
10          0.066834
11          0.066834
12          0.066834
13          0.066834
14          0.066834
15          0.066834
16          0.066834
17          0.066834
18          0.066834
19          0.066834
20          0.066834
21          0.066834
22          0.066834
23          0.066834
24          0.066834
25          0.066834
26          0.066834
27          0.066834
28          0.066834
29          0.066834
30          0.066834
31          0.066834
32          0.066834
33          0.066834
34          0.066834
35          0.066834
36          0.066834
37          0.066834
38          0.066834
39          0.066834
40          0.066834
41          0.066834
42          0.066834
43          0.066834
44          0.066834
