#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
16    1.100000    8    
17    0.900000    14    
18    0.900000    16    
19    0.500000    0    
20    0.900000    18    
21    0.900000    2    
22    0.500000    0    
23    0.900000    15    
24    0.500000    0    
25    0.500000    0    
26    0.500000    0    
27    0.900000    18    
28    1.100000    6    
29    0.900000    19    
30    0.900000    2    
31    0.500000    0    
32    0.500000    0    
33    0.900000    18    
34    0.900000    14    
35    0.500000    0    
36    0.900000    18    
37    0.500000    0    
38    0.900000    9    
39    0.500000    0    
40    0.900000    20    
41    0.500000    0    
42    0.900000    16    
43    0.500000    0    
44    0.900000    11    
45    0.900000    14    
46    0.500000    0    
47    0.900000    9    
48    1.100000    4    
49    0.900000    20    
50    0.500000    0    
51    0.500000    0    
52    0.500000    0    
53    0.900000    11    
54    0.500000    0    
55    1.100000    5    

#Macrocel    #Threshold    #Rate[Hz]
1    0.730000    8    
2    0.530000    0    
3    0.930000    21    
4    0.530000    0    
5    0.930000    17    
6    0.930000    9    
7    0.930000    10    
8    0.530000    0    
9    0.930000    7    
10    0.930000    22    
11    0.530000    0    
12    0.930000    17    
13    0.930000    12    
14    0.530000    0    
15    0.930000    22    
16    1.130000    2    
17    0.930000    13    
18    0.930000    13    
19    0.530000    0    
20    0.930000    13    
21    0.930000    1    
22    0.530000    0    
23    0.930000    14    
24    0.530000    0    
25    0.530000    0    
26    0.530000    0    
27    0.930000    12    
28    1.130000    2    
29    0.930000    19    
30    0.930000    1    
31    0.530000    0    
32    0.530000    0    
33    0.930000    16    
34    0.930000    16    
35    0.530000    0    
36    0.930000    18    
37    0.530000    0    
38    0.930000    7    
39    0.530000    0    
40    0.930000    14    
41    0.530000    0    
42    0.930000    14    
43    0.530000    0    
44    0.930000    9    
45    0.930000    16    
46    0.530000    0    
47    0.930000    7    
48    1.130000    6    
49    0.930000    13    
50    0.530000    0    
51    0.530000    0    
52    0.530000    0    
53    0.930000    10    
54    0.530000    0    
55    1.130000    6    

#Macrocel    #Threshold    #Rate[Hz]
1    0.760000    10    
2    0.560000    0    
3    0.960000    12    
4    0.560000    0    
5    0.960000    11    
6    0.960000    4    
7    0.960000    4    
8    0.560000    0    
9    0.960000    3    
10    0.960000    18    
11    0.560000    0    
12    0.960000    11    
13    0.960000    9    
14    0.560000    0    
15    0.960000    18    
16    1.160000    1    
17    0.960000    9    
18    0.960000    9    
19    0.560000    0    
20    0.960000    10    
21    0.960000    0    
22    0.560000    0    
23    0.960000    9    
24    0.560000    0    
25    0.560000    0    
26    0.560000    0    
27    0.960000    10    
28    1.160000    1    
29    0.960000    19    
30    0.960000    0    
31    0.560000    0    
32    0.560000    0    
33    0.960000    15    
34    0.960000    5    
35    0.560000    0    
36    0.960000    19    
37    0.560000    0    
38    0.960000    4    
39    0.560000    0    
40    0.960000    16    
41    0.560000    0    
42    0.960000    13    
43    0.560000    0    
44    0.960000    11    
45    0.960000    5    
46    0.560000    0    
47    0.960000    4    
48    1.160000    5    
49    0.960000    14    
50    0.560000    0    
51    0.560000    0    
52    0.560000    0    
53    0.960000    11    
54    0.560000    0    
55    1.160000    5    

#Macrocel    #Threshold    #Rate[Hz]
1    0.790000    10    
2    0.590000    0    
3    0.990000    7    
4    0.590000    0    
5    0.990000    10    
6    0.990000    4    
7    0.990000    6    
8    0.590000    0    
9    0.990000    4    
10    0.990000    17    
11    0.590000    0    
12    0.990000    10    
13    0.990000    6    
14    0.590000    0    
15    0.990000    16    
16    1.190000    1    
17    0.990000    9    
18    0.990000    7    
19    0.590000    0    
20    0.990000    7    
21    0.990000    0    
22    0.590000    0    
23    0.990000    12    
24    0.590000    0    
25    0.590000    0    
26    0.590000    0    
27    0.990000    7    
28    1.190000    1    
29    0.990000    15    
30    0.990000    0    
31    0.590000    0    
32    0.590000    0    
33    0.990000    11    
34    0.990000    7    
35    0.590000    0    
36    0.990000    13    
37    0.590000    0    
38    0.990000    2    
39    0.590000    0    
40    0.990000    12    
41    0.590000    0    
42    0.990000    8    
43    0.590000    0    
44    0.990000    7    
45    0.990000    6    
46    0.590000    0    
47    0.990000    2    
48    1.190000    3    
49    0.990000    11    
50    0.590000    0    
51    0.590000    0    
52    0.590000    0    
53    0.990000    8    
54    0.590000    0    
55    1.190000    3    

#Macrocel    #Threshold    #Rate[Hz]
1    0.820000    7    
2    0.620000    0    
3    1.020000    10    
4    0.620000    0    
5    1.020000    8    
6    1.020000    5    
7    1.020000    2    
8    0.620000    0    
9    1.020000    0    
10    1.020000    14    
11    0.620000    0    
12    1.020000    8    
13    1.020000    6    
14    0.620000    0    
15    1.020000    14    
16    1.220000    0    
17    1.020000    6    
18    1.020000    7    
19    0.620000    0    
20    1.020000    7    
21    1.020000    0    
22    0.620000    0    
23    1.020000    6    
24    0.620000    0    
25    0.620000    0    
26    0.620000    0    
27    1.020000    7    
28    1.220000    0    
29    1.020000    13    
30    1.020000    0    
31    0.620000    0    
32    0.620000    0    
33    1.020000    11    
34    1.020000    3    
35    0.620000    0    
36    1.020000    10    
37    0.620000    0    
38    1.020000    3    
39    0.620000    0    
40    1.020000    10    
41    0.620000    0    
42    1.020000    8    
43    0.620000    0    
44    1.020000    0    
45    1.020000    3    
46    0.620000    0    
47    1.020000    3    
48    1.220000    0    
49    1.020000    10    
50    0.620000    0    
51    0.620000    0    
52    0.620000    0    
53    1.020000    0    
54    0.620000    0    
55    1.220000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.850000    1    
2    0.650000    0    
3    1.050000    5    
4    0.650000    0    
5    1.050000    4    
6    1.050000    0    
7    1.050000    2    
8    0.650000    0    
9    1.050000    0    
10    1.050000    9    
11    0.650000    0    
12    1.050000    4    
13    1.050000    3    
14    0.650000    0    
15    1.050000    9    
16    1.250000    0    
17    1.050000    4    
18    1.050000    3    
19    0.650000    0    
20    1.050000    6    
21    1.050000    0    
22    0.650000    0    
23    1.050000    4    
24    0.650000    0    
25    0.650000    0    
26    0.650000    0    
27    1.050000    5    
28    1.250000    0    
29    1.050000    8    
30    1.050000    0    
31    0.650000    0    
32    0.650000    0    
33    1.050000    4    
34    1.050000    7    
35    0.650000    0    
36    1.050000    6    
37    0.650000    0    
38    1.050000    1    
39    0.650000    0    
40    1.050000    8    
41    0.650000    0    
42    1.050000    4    
43    0.650000    0    
44    1.050000    1    
45    1.050000    7    
46    0.650000    0    
47    1.050000    1    
48    1.250000    0    
49    1.050000    6    
50    0.650000    0    
51    0.650000    0    
52    0.650000    0    
53    1.050000    2    
54    0.650000    0    
55    1.250000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.880000    4    
2    0.680000    0    
3    1.080000    3    
4    0.680000    0    
5    1.080000    2    
6    1.080000    1    
7    1.080000    1    
8    0.680000    0    
9    1.080000    1    
