#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
18    0.580000    1    
19    0.380000    0    
20    0.780000    0    
21    0.580000    0    
22    0.380000    0    
23    0.780000    0    
24    0.380000    0    
25    0.380000    0    
26    0.580000    0    
27    0.780000    0    
28    0.580000    0    
29    0.580000    0    
30    0.380000    23    
31    0.580000    0    
32    0.380000    0    
33    0.580000    0    
34    0.580000    2    
35    0.380000    0    
36    0.580000    0    
37    0.380000    0    
38    0.580000    0    
39    0.380000    0    
40    0.580000    1    
41    0.380000    0    
42    0.580000    0    
43    0.380000    0    
44    0.580000    0    
45    0.580000    2    
46    0.380000    0    
47    0.580000    0    
48    0.780000    0    
49    0.580000    1    
50    0.380000    0    
51    0.380000    0    
52    0.380000    0    
53    0.580000    0    
54    0.380000    0    
55    0.780000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.600000    0    
2    0.400000    0    
3    0.600000    0    
4    0.400000    0    
5    0.600000    2    
6    0.600000    0    
7    0.800000    0    
8    0.400000    0    
9    0.600000    0    
10    0.600000    0    
11    0.400000    0    
12    0.600000    2    
13    0.600000    1    
14    0.400000    0    
15    0.600000    0    
16    0.600000    0    
17    0.800000    0    
18    0.600000    1    
19    0.400000    0    
20    0.800000    0    
21    0.600000    0    
22    0.400000    0    
23    0.800000    0    
24    0.400000    0    
25    0.400000    0    
26    0.600000    0    
27    0.800000    0    
28    0.600000    0    
29    0.600000    0    
30    0.400000    16    
31    0.600000    0    
32    0.400000    0    
33    0.600000    0    
34    0.600000    0    
35    0.400000    0    
36    0.600000    0    
37    0.400000    0    
38    0.600000    0    
39    0.400000    0    
40    0.600000    0    
41    0.400000    0    
42    0.600000    0    
43    0.400000    0    
44    0.600000    0    
45    0.600000    0    
46    0.400000    0    
47    0.600000    0    
48    0.800000    0    
49    0.600000    0    
50    0.400000    0    
51    0.400000    0    
52    0.400000    0    
53    0.600000    0    
54    0.400000    0    
55    0.800000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.620000    0    
2    0.420000    0    
3    0.620000    0    
4    0.420000    0    
5    0.620000    2    
6    0.620000    0    
7    0.820000    0    
8    0.420000    0    
9    0.620000    0    
10    0.620000    0    
11    0.420000    0    
12    0.620000    2    
13    0.620000    0    
14    0.420000    0    
15    0.620000    0    
16    0.620000    0    
17    0.820000    0    
18    0.620000    0    
19    0.420000    0    
20    0.820000    0    
21    0.620000    0    
22    0.420000    0    
23    0.820000    0    
24    0.420000    0    
25    0.420000    0    
26    0.620000    0    
27    0.820000    0    
28    0.620000    0    
29    0.620000    0    
30    0.420000    13    
31    0.620000    0    
32    0.420000    0    
33    0.620000    0    
34    0.620000    1    
35    0.420000    0    
36    0.620000    0    
37    0.420000    0    
38    0.620000    0    
39    0.420000    0    
40    0.620000    0    
41    0.420000    0    
42    0.620000    0    
43    0.420000    0    
44    0.620000    0    
45    0.620000    1    
46    0.420000    0    
47    0.620000    0    
48    0.820000    0    
49    0.620000    0    
50    0.420000    0    
51    0.420000    0    
52    0.420000    0    
53    0.620000    0    
54    0.420000    0    
55    0.820000    0    

#Macrocel     #Threshold 
1    0.220000 
2    0.020000 
3    0.220000 
4    0.020000 
5    -19.780000 
6    0.220000 
7    0.420000 
8    0.020000 
9    0.220000 
10    0.220000 
11    0.020000 
12    -19.780000 
13    0.220000 
14    0.020000 
15    0.220000 
16    0.220000 
17    0.420000 
18    0.220000 
19    0.020000 
20    0.420000 
21    0.220000 
22    0.020000 
23    0.420000 
24    0.020000 
25    0.020000 
26    0.220000 
27    0.420000 
28    0.220000 
29    0.220000 
30    -19.980000 
31    0.220000 
32    0.020000 
33    0.220000 
34    0.220000 
35    0.020000 
36    0.220000 
37    0.020000 
38    0.220000 
39    0.020000 
40    0.220000 
41    0.020000 
42    0.220000 
43    0.020000 
44    0.220000 
45    0.220000 
46    0.020000 
47    0.220000 
48    0.420000 
49    0.220000 
